Date,Open,High,Low,Close,Volume
10/01/2012,139,142,137,139.4,12000
10/02/2012,140.1,141.5,138.6,140,10500
10/03/2012,140.5,142,140,140.4,12100
10/04/2012,143.8,143.8,138.2,139.3,11600
10/07/2012,140,140,132,134.6,2100
10/08/2012,133.5,133.5,132,132.5,3700
10/09/2012,133.2,139,133.1,133.5,3100
10/10/2012,133.5,135,132.1,133.1,1800
10/11/2012,135,135,133,134.1,1600
10/14/2012,133,135,130.5,132.5,2300
10/15/2012,135.4,135.4,134.9,135.1,200
10/16/2012,132.5,137.5,132.5,134.6,600
10/17/2012,138,140,134.7,135.4,14100
10/18/2012,134.7,134.7,132,134,2000
10/21/2012,134,135,130.1,131.5,5900
10/22/2012,136.5,136.8,132.3,133.2,5500
10/23/2012,138,138,134.1,135,6500
10/30/2012,134.5,134.5,133.7,134,6000
10/31/2012,134.5,135,134,134,15700
11/01/2012,135.1,135.1,130,130.8,18800
11/04/2012,133.9,133.9,129.1,129.7,12700
11/06/2012,128,128,122.1,122.5,5900
11/07/2012,123,123,119.1,120.8,4200
11/08/2012,118.2,122.5,118.2,120.4,3400
11/11/2012,113.8,120.5,113.2,118.9,5000
11/12/2012,113.2,119,113.2,118.9,5400
11/13/2012,119,121,119,120.3,4200
11/14/2012,120.4,122,120.4,120.7,8600
11/15/2012,124.9,128.1,122,127.1,3700
11/18/2012,130,133,128.1,128.9,8600
11/19/2012,127.9,129.5,122.1,127,1600
11/20/2012,125,127.9,125,126.2,4100
11/21/2012,127.9,127.9,125,127.4,1700
11/22/2012,125,128.5,123.1,125.3,700
11/26/2012,123.2,126.8,120,122.6,3000
11/27/2012,120.5,122.6,120.5,122.4,3400
11/28/2012,120.9,122.5,120.7,121.3,900
11/29/2012,125,126.9,123.4,124.6,1400
12/02/2012,122.2,125,120,122.1,3500
12/03/2012,120.5,120.5,120,120.2,1000
12/04/2012,123.5,123.5,120,120.1,2000
12/05/2012,120.1,120.1,119.2,119.6,200
12/06/2012,120,120,119.7,119.7,2200
12/09/2012,124.9,124.9,119.7,120.4,4000
12/10/2012,123.8,123.8,120.5,121,10200
12/11/2012,121.1,121.1,121.1,121.1,3200
12/13/2012,121.2,122.2,121.2,121.2,5100
12/17/2012,114,125,114,123.4,700
12/19/2012,118.3,123,118.3,120.6,200
12/20/2012,120,120.1,118.4,119,6000
12/23/2012,117.1,120,117,118.2,6200
12/24/2012,121.6,121.6,118.3,118.5,1300
12/26/2012,118,118,118,118,1000
12/27/2012,118.5,119.5,117.5,119.3,2300
12/30/2012,122,122.1,122,122,4400
01/01/2013,122,122,117.4,118.9,1200
01/02/2013,121,121,117,118.3,300
01/03/2013,123,123,122,122.5,200
01/06/2013,122,122.8,122,122.5,3600
01/07/2013,122.4,122.4,122.4,122.4,100
01/08/2013,115.1,118,115.1,117,800
01/09/2013,118.1,118.1,118.1,118.1,400
01/10/2013,118.1,118.1,117.6,117.8,1600
1/13/2013,116.5,117,114.1,115.6,800
1/14/2013,120.7,120.7,120.7,120.7,100
1/15/2013,119.9,121,119.9,120.6,2300
1/16/2013,117.1,117.2,117.1,117.1,300
1/17/2013,116.7,117.5,116.7,117,300
1/20/2013,119,119.4,117.3,118.4,500
1/21/2013,118,118,118,118,400
1/22/2013,120,120,117,118,3200
1/23/2013,118.1,118.1,118.1,118.1,100
1/24/2013,118.1,118.1,118,118,1100
1/27/2013,116.7,116.7,116.7,116.7,100
1/28/2013,116,116.7,116,116.2,1000
1/29/2013,117.3,120.2,117.3,119.3,800
1/30/2013,120,120,118.5,119.1,3700
1/31/2013,122.8,122.8,122,122.1,2600
02/03/2013,121.9,123,121.9,122.2,1300
02/04/2013,123,123,121.8,122.1,2400
02/05/2013,122,122,122,122,2500
02/06/2013,122,122.8,122,122,2800
02/07/2013,120,122.7,120,122.1,1400
02/10/2013,123,123,123,123,100
02/11/2013,120.2,120.3,120.2,120.2,500
02/12/2013,122.9,122.9,120.3,121.1,700
2/13/2013,120,120.5,120,120.2,2600
2/14/2013,120,120.2,120,120.1,500
2/17/2013,122,122,118.1,118.4,5900
2/18/2013,120.9,121,120.7,120.9,2000
2/19/2013,120.9,122.9,120.9,121.3,11200
2/20/2013,120.1,122.4,120.1,120.6,2400
2/24/2013,121,121,121,121,600
2/25/2013,122,122.8,121,121.7,4200
2/26/2013,123,123,117.5,121.8,900
2/27/2013,122.5,122.5,118.2,119.1,2100
2/28/2013,121.8,121.9,118,121,700
03/03/2013,118.1,118.1,118,118,2100
03/04/2013,122.5,122.5,121.5,122,500
03/05/2013,123,123,118,118.9,1600
03/06/2013,118,121.7,118,118.6,700
03/10/2013,118.6,118.7,118.6,118.6,3000
03/11/2013,118,121.5,118,118.8,6700
03/12/2013,118.9,121.4,118.9,118.9,4500
3/13/2013,120.9,121,120.9,120.9,300
3/14/2013,118.6,118.6,118.5,118.5,1000
3/18/2013,117,122,117,119.4,400
3/19/2013,122,122,117.6,119.3,900
3/20/2013,118,120.4,118,118.4,1600
3/24/2013,118.9,118.9,116.3,117.6,400
3/25/2013,120,120,117.6,118,1000
3/28/2013,118.1,118.2,118.1,118.1,3800
3/31/2013,122,122.9,118.1,118.6,9700
04/01/2013,111,111,111,111,500
04/02/2013,115,118,115,116.6,800
04/03/2013,116.7,119,116.7,117.4,300
04/04/2013,120,120,117.5,118.6,1900
04/07/2013,118.7,118.7,118.7,118.7,3700
04/09/2013,121.4,121.4,121,121.2,200
04/10/2013,125,125,125,125,200
04/11/2013,124,125,124,124.8,20000
4/15/2013,125,125,123,124.1,1400
4/17/2013,124.1,124.1,119.6,120,1100
4/18/2013,125,125,121.9,124.5,1600
4/21/2013,125,135,125,127.2,900
4/24/2013,121,121,120,120.8,900
4/25/2013,121,124.4,121,121.8,700
4/28/2013,133,133,119.7,124.5,1200
4/29/2013,136,136,124.2,124.9,6400
4/30/2013,131,136.5,122.3,128.6,1800
05/02/2013,126,126,125,125.4,700
05/05/2013,120,126,120,125.1,4400
05/06/2013,120,125,120,123.7,2700
05/07/2013,127.4,127.5,124.1,126.3,5100
05/08/2013,137.7,137.7,127,127.2,13600
05/09/2013,127,129.3,126.7,127.5,2400
05/12/2013,131.6,131.6,125.5,127.6,3100
5/13/2013,125.2,126.9,124.5,124.9,4000
5/14/2013,126,129.3,125.6,126.4,4800
5/15/2013,124,127.9,124,125.3,3000
5/16/2013,125.3,127,125.3,125.8,1000
5/19/2013,126.2,128,125.7,126.1,2300
5/20/2013,124.9,125.1,124.1,124.4,8700
5/21/2013,124.2,127,124.2,124.4,2700
5/22/2013,124.1,124.7,124.1,124.3,2100
5/26/2013,122.3,122.3,122.2,122.2,1400
5/27/2013,127.4,127.4,122.2,124.6,800
5/28/2013,127.8,127.8,124,125,4400
5/29/2013,127.1,127.5,125.9,126.8,2600
5/30/2013,125.1,127.6,124,125.1,10300
06/02/2013,126,126.5,123.2,124.5,22500
06/03/2013,124.2,127.3,123.5,126.9,29800
06/04/2013,128,135.8,127,134.8,38800
06/05/2013,135,135,130,131.4,15600
06/06/2013,130,131.7,128.5,128.6,14800
06/09/2013,126,127,123.5,124.6,7600
06/11/2013,130,131,126.3,127.4,7700
06/12/2013,131,131.4,126.6,128.5,7200
6/13/2013,129,135,128.5,130.2,12400
6/16/2013,132,134.7,130.5,132.4,16500
6/17/2013,135,136,131.3,132.4,11300
6/18/2013,127.5,129,127,127.7,9000
6/19/2013,130.1,134,130,130.6,10300
6/20/2013,130,132.8,127.9,128.5,6600
6/23/2013,131,131,125.1,125.8,6900
6/24/2013,126.7,126.7,124.7,125.3,3600
6/26/2013,130,130.5,127.6,128.6,4700
6/27/2013,126.2,127.3,125.3,125.5,12400
6/30/2013,127,129.9,125.1,127.8,6500
07/02/2013,127,131.5,127,130.9,11900
07/03/2013,131,132.5,128.7,130.1,11700
07/04/2013,131.5,132.9,128.4,129.4,14800
07/07/2013,131.9,136.9,131.8,135.9,23000
07/08/2013,136,149.4,135.6,149.3,200800
07/09/2013,156.9,164.2,156.9,164.2,175300
07/10/2013,169.9,179.9,162.6,170.7,117400
07/11/2013,171.8,171.8,154.1,155.1,66000
7/14/2013,160,160,146,146.9,42100
7/15/2013,157.5,161.5,155,161.5,116000
7/16/2013,174,177.5,173.9,177.5,232400
7/17/2013,185,195,175,195,212600
7/18/2013,200,212.4,189,212,290100
7/21/2013,220,220,199,201.1,198100
7/22/2013,208,208,183.7,184.9,124600
7/23/2013,190,190,167.9,168.8,119700
7/24/2013,170,185.5,163.4,185.5,80100
7/25/2013,189.9,194.9,170,174.3,61900
7/28/2013,168,179,167.1,171.7,32600
7/29/2013,178.9,185,176,182,56700
7/30/2013,184,189.8,176.4,178.3,55600
7/31/2013,182.4,182.4,172.1,172.8,44400
08/01/2013,176,176.5,166.1,170.5,45800
08/04/2013,165.2,167,165,165.9,13500
08/05/2013,171.5,171.7,165,169.9,25500
